datetime,sigai,bucket,index
2024-01-30 15:37:00,0.0094579,08:10 - 16:10,1215
2024-01-30 15:38:00,0.0094344,08:10 - 16:10,1215
2024-01-30 15:39:00,0.00942256,08:10 - 16:10,1215
2024-01-30 15:40:00,0.00941723,08:10 - 16:10,1215
2024-01-30 15:41:00,0.00939856,08:10 - 16:10,1215
2024-01-30 15:42:00,0.00937823,08:10 - 16:10,1215
2024-01-30 15:43:00,0.0093589,08:10 - 16:10,1215
2024-01-30 15:44:00,0.0093474,08:10 - 16:10,1215
2024-01-30 15:45:00,0.00934223,08:10 - 16:10,1215
2024-01-30 15:46:00,0.00933173,08:10 - 16:10,1215
2024-01-30 15:47:00,0.00931206,08:10 - 16:10,1215
2024-01-30 15:48:00,0.00928273,08:10 - 16:10,1215
2024-01-30 15:49:00,0.0092879,08:10 - 16:10,1215
2024-01-30 15:50:00,0.00923773,08:10 - 16:10,1215
2024-01-30 15:51:00,0.00923156,08:10 - 16:10,1215
2024-01-30 15:52:00,0.00920473,08:10 - 16:10,1215
2024-01-30 15:53:00,0.00920156,08:10 - 16:10,1215
2024-01-30 15:54:00,0.0091459,08:10 - 16:10,1215
2024-01-30 15:55:00,0.0091339,08:10 - 16:10,1215
2024-01-30 15:56:00,0.00911123,08:10 - 16:10,1215
2024-01-30 15:57:00,0.00906373,08:10 - 16:10,1215
2024-01-30 15:58:00,0.0090534,08:10 - 16:10,1215
2024-01-30 15:59:00,0.00903423,08:10 - 16:10,1215
2024-01-30 16:00:00,0.00883756,08:10 - 16:10,1215
2024-01-30 16:01:00,0.00692073,08:10 - 16:10,1215
2024-01-30 16:02:00,0.00579989,08:10 - 16:10,1215
2024-01-30 16:03:00,0.00591456,08:10 - 16:10,1215
2024-01-30 16:04:00,0.00564989,08:10 - 16:10,1215
2024-01-30 16:05:00,0.00568306,08:10 - 16:10,1215
2024-01-30 16:06:00,0.00558039,08:10 - 16:10,1215
2024-01-30 16:07:00,0.00576006,08:10 - 16:10,1215
2024-01-30 16:08:00,0.00563189,08:10 - 16:10,1215
2024-01-30 16:09:00,0.00539439,08:10 - 16:10,1215
2024-01-30 16:10:00,0.00530439,16:10 - 00:10,1216
2024-01-30 16:11:00,0.00549473,16:10 - 00:10,1216
2024-01-30 16:12:00,0.00552773,16:10 - 00:10,1216
2024-01-30 16:13:00,0.00556356,16:10 - 00:10,1216
2024-01-30 16:14:00,0.00556739,16:10 - 00:10,1216
2024-01-30 16:15:00,0.00569689,16:10 - 00:10,1216
2024-01-30 16:16:00,0.00568423,16:10 - 00:10,1216
2024-01-30 16:17:00,0.00574756,16:10 - 00:10,1216
2024-01-30 16:18:00,0.00560289,16:10 - 00:10,1216
2024-01-30 16:19:00,0.00553706,16:10 - 00:10,1216
2024-01-30 16:20:00,0.00542573,16:10 - 00:10,1216
2024-01-30 16:21:00,0.00553589,16:10 - 00:10,1216
2024-01-30 16:22:00,0.00565256,16:10 - 00:10,1216
2024-01-30 16:23:00,0.00567723,16:10 - 00:10,1216
2024-01-30 16:24:00,0.00586839,16:10 - 00:10,1216
2024-01-30 16:25:00,0.00592506,16:10 - 00:10,1216
2024-01-30 16:26:00,0.00593273,16:10 - 00:10,1216
2024-01-30 16:27:00,0.00591639,16:10 - 00:10,1216
2024-01-30 16:28:00,0.00590839,16:10 - 00:10,1216
2024-01-30 16:29:00,0.00591106,16:10 - 00:10,1216
2024-01-30 16:30:00,0.00596989,16:10 - 00:10,1216
2024-01-30 16:31:00,0.00596123,16:10 - 00:10,1216
2024-01-30 16:32:00,0.00601123,16:10 - 00:10,1216
2024-01-30 16:33:00,0.00615173,16:10 - 00:10,1216
2024-01-30 16:34:00,0.00616889,16:10 - 00:10,1216
2024-01-30 16:35:00,0.00622823,16:10 - 00:10,1216
2024-01-30 16:36:00,0.00628573,16:10 - 00:10,1216
2024-01-30 16:37:00,0.00628856,16:10 - 00:10,1216
2024-01-30 16:38:00,0.00627889,16:10 - 00:10,1216
2024-01-30 16:39:00,0.00626856,16:10 - 00:10,1216
2024-01-30 16:40:00,0.00626606,16:10 - 00:10,1216
